#,Country,"GDP (nominal, 2022)",GDP growth,Population (2022),GDP per capita,Share of World GDP,Immunization (%),Death rate/1000 people,Birth rate/1000 people,Diabetes prevalence (% of population ages 20 to 79),Life expectancy,"Mortality rate, under-5 (per 1,000 live births)","Adolescent fertility rate (births per 1,000 women ages 15-19)","Incidence of tuberculosis (per 100,000 people)",Population growth (annual %),"Population, total",Prevalence of undernourishment (% of population),Overall rank,Score_2016,Score_2017,Score_2018,Score_2019,Score_2020,Score_2021,Score_2022
50,New Zealand,247234000000,247 billion,2.16,5185288,47680,90.0,6.83,11.48,6.2,82.20731707,4.7,12.63,6.8,0.415621677,5111400,2.5,8.0,7.334,7.314,7.324,7.307,7.3,7.277,7.277
51,Peru,242632000000,243 billion,2.68,34049588,7126,82.0,7.988,17.622,4.8,72.377,14.1,56.756,128.0,1.225660252,33715471,7.0,65.0,5.743,5.715,5.663,5.697,5.797,5.84,5.84
52,Qatar,237296000000,237 billion,4.83,2695122,88046,98.0,1.311,9.816,19.5,79.272,5.3,7.069,42.0,-2.648531832,2688235,,29.0,6.375,6.375,6.374,6.374,,,
53,Kazakhstan,220623000000,221 billion,3.20,19397998,11373,95.0,9.61,23.5,6.6,70.23,10.3,21.877,72.0,1.299508438,19000988,2.5,60.0,5.919,5.819,5.79,5.809,6.058,6.152,6.152
54,Greece,219066000000,219 billion,5.91,10384971,21095,99.0,13.5,8.0,6.4,80.18292683,3.7,8.479,2.1,-1.21680249,10569207,2.5,82.0,5.033,5.227,5.358,5.287,5.515,5.723,5.723
55,Algeria,191913000000,192 billion,3.10,44903225,4274,81.0,4.546,21.524,7.1,76.377,22.3,11.714,54.0,1.657703201,44177969,2.5,88.0,6.355,5.872,5.295,5.211,5.005,4.887,4.887
56,Kuwait,184558000000,185 billion,8.18,4268873,43233,94.0,2.906,10.41,24.9,78.673,8.7,5.638,20.0,-2.562808093,4250114,2.5,51.0,6.239,6.105,6.083,6.011,6.102,6.106,6.106
57,Hungary,178789000000,179 billion,4.58,9967308,17938,99.0,16.1,9.7,7.0,74.46585366,4.0,22.148,3.7,-0.413751024,9709891,2.5,62.0,5.145,5.324,5.62,5.758,6.0,5.992,5.992
58,Ukraine,160503000000,161 billion,-29.10,39701739,4043,78.0,18.5,7.3,5.6,69.64780488,8.2,15.642,81.0,-0.702971858,43822901,4.8,133.0,4.324,4.096,4.103,4.332,4.561,4.875,4.875
59,Morocco,134182000000,134 billion,1.08,37457971,3582,99.0,6.17,17.545,9.1,74.042,18.0,25.936,94.0,1.051484312,37076584,6.3,89.0,5.151,5.235,5.254,5.208,5.095,4.918,4.918
60,Ethiopia,126783000000,127 billion,5.32,123379924,1028,65.0,6.776,32.383,5.0,64.975,46.8,69.221,119.0,2.604319283,120283026,21.9,134.0,4.508,4.46,4.35,4.286,4.186,4.275,4.275
61,Slovakia,115469000000,115 billion,1.67,5643453,20461,97.0,13.5,10.4,5.8,74.71463415,5.6,26.307,2.8,-0.212358808,5447247,2.8,38.0,6.078,6.098,6.173,6.198,6.281,6.331,6.331
62,Ecuador,115049000000,115 billion,2.95,18001000,6391,72.0,6.719,16.817,4.4,73.67,12.5,63.163,46.0,1.182063375,17797737,13.9,50.0,5.976,6.008,5.973,6.028,5.925,5.764,5.764
63,Oman,114667000000,115 billion,4.31,4576298,25057,99.0,3.796,18.419,13.8,72.541,10.1,9.944,5.9,-0.505921839,4520471,2.8,,,,,,,,
64,Dominican Republic,113642000000,114 billion,4.86,11228821,10121,84.0,6.678,18.432,10.5,72.615,33.0,65.629,43.0,1.068926667,11117873,6.3,77.0,5.155,5.23,5.302,5.425,5.689,5.545,5.545
65,Kenya,113420000000,113 billion,4.85,54027487,2099,91.0,8.056,27.685,4.0,61.427,37.2,64.185,249.0,1.942761283,53005614,27.8,121.0,4.356,4.553,4.41,4.509,4.583,4.607,4.607
66,Angola,106714000000,107 billion,3.05,35588987,2999,45.0,8.009,38.809,4.6,61.643,69.4,138.402,322.0,3.166029862,34503774,21.6,,,,,,,,
67,Guatemala,95003333381,95.00 billion,4.12,17843908,5324,79.0,6.504,21.12,13.1,69.237,23.0,64.054,26.0,1.480316806,17109746,13.3,27.0,6.324,6.454,6.382,6.436,6.399,6.435,6.435
68,Bulgaria,89040398406,89.04 billion,3.36,6781953,13129,89.0,21.7,8.5,7.4,71.51463415,6.3,38.605,17.0,-0.814846472,6877743,2.5,97.0,4.217,4.714,4.933,5.011,5.102,5.266,5.266
69,Luxembourg,82274812251,82.27 billion,1.55,647599,127046,99.0,7.0,10.5,5.9,82.74878049,2.7,4.304,6.1,1.518349367,640064,2.5,14.0,6.871,6.863,6.91,7.09,7.238,7.324,7.324
70,Uzbekistan,80391853885,80.39 billion,5.67,34627652,2322,98.0,5.0,25.9,7.0,70.862,14.1,15.859,72.0,1.975706066,34915100,2.5,41.0,5.987,5.971,6.096,6.174,6.258,6.179,6.179
71,Azerbaijan,78721058824,78.72 billion,4.62,10358074,7600,89.0,7.6,11.1,5.6,69.366,18.6,40.079,62.0,0.441197736,10137750,2.5,90.0,5.291,7.342,5.201,5.208,5.165,5.171,5.171
72,Panama,76522511781,76.52 billion,10.81,4408581,17358,87.0,6.067,17.692,8.2,76.223,13.9,69.912,42.0,1.315615015,4351267,5.3,31.0,6.701,6.452,6.43,6.321,6.305,6.18,6.18
73,Tanzania,75709289056,75.71 billion,4.56,65497748,1156,81.0,6.222,36.21,12.3,66.201,47.1,123.652,208.0,3.007287233,63588334,23.5,153.0,3.666,3.349,3.303,3.231,3.476,3.623,3.623
74,Sri Lanka,74403578363,74.40 billion,-7.82,21832143,3408,96.0,7.36,14.019,11.3,76.399,6.7,15.65,63.0,1.075449957,22156000,5.3,130.0,4.415,4.44,4.471,4.366,4.327,4.325,4.325
75,Ghana,72838798788,72.84 billion,3.24,33475870,2176,98.0,7.627,27.548,2.6,63.795,44.0,64.176,136.0,2.00774487,32833031,4.9,98.0,4.276,4.12,4.657,4.996,5.148,5.088,5.088
76,Belarus,72793457588,72.79 billion,-4.70,9534954,7634,98.0,16.544,9.283,5.6,72.37068293,2.7,11.85,28.0,-0.828232721,9302585,2.5,81.0,5.802,5.569,5.483,5.323,5.54,5.534,5.534
77,Uruguay,71177146197,71.18 billion,4.92,3422794,20795,91.0,12.162,10.473,9.0,75.436,5.8,36.226,32.0,-0.082446609,3426260,2.5,33.0,6.545,6.454,6.379,6.293,6.44,6.431,6.431
78,Croatia,70964606465,70.96 billion,6.33,4030358,17608,92.0,16.2,9.4,4.8,76.42439024,4.6,8.637,4.4,-4.256648902,3879000,2.5,75.0,5.488,5.293,5.321,5.432,5.505,5.882,5.882
79,Lithuania,70334299008,70.33 billion,1.89,2750055,25576,90.0,17.0,8.3,5.8,74.33902439,3.3,10.377,26.0,0.21280543,2800839,2.5,42.0,5.813,5.902,5.952,6.149,6.215,6.255,6.255
81,Costa Rica,68380838316,68.38 billion,4.31,5180829,13199,93.0,7.192,11.873,8.8,77.023,7.6,37.148,10.0,0.600406861,5153957,3.0,12.0,7.087,7.079,7.072,7.167,7.121,7.069,7.069
82,Serbia,63501748652,63.50 billion,2.25,7221365,8794,91.0,20.0,9.1,9.1,72.73073171,5.5,14.897,14.0,-0.94368817,6834326,2.5,70.0,5.177,5.395,5.398,5.603,5.778,6.078,6.078
83,Slovenia,62117768015,62.12 billion,5.37,2119844,29303,86.0,11.0,9.0,5.8,80.87560976,2.2,4.478,4.3,0.26885197,2108079,2.5,44.0,5.768,5.758,5.948,6.118,6.363,6.461,6.461
